"gss_code","gss_name","geography","sex","date","ratio","ratio_lower","ratio_upper","ratio_type","gp_count","actual_births"
"E06000001","Hartlepool","LAD23","persons","01/01/2015",1.153633448,NA,NA,"actual",904.1,1043
"E06000001","Hartlepool","LAD23","persons","01/02/2015",1.149807127,NA,NA,"interpolated",NA,NA
"E06000001","Hartlepool","LAD23","persons","01/03/2015",1.145980807,NA,NA,"interpolated",NA,NA
"E06000001","Hartlepool","LAD23","persons","01/04/2015",1.142154487,NA,NA,"interpolated",876.2,NA
"E06000001","Hartlepool","LAD23","persons","01/05/2015",1.138328167,NA,NA,"interpolated",NA,NA
"E06000001","Hartlepool","LAD23","persons","01/06/2015",1.134501846,NA,NA,"interpolated",NA,NA
"E06000001","Hartlepool","LAD23","persons","01/07/2015",1.130675526,NA,NA,"actual",903,1021
"E06000001","Hartlepool","LAD23","persons","01/08/2015",1.131942927,NA,NA,"interpolated",NA,NA
"E06000001","Hartlepool","LAD23","persons","01/09/2015",1.133210328,NA,NA,"interpolated",NA,NA
"E06000001","Hartlepool","LAD23","persons","01/10/2015",1.134477729,NA,NA,"interpolated",922.8,NA
"E06000001","Hartlepool","LAD23","persons","01/11/2015",1.13574513,NA,NA,"interpolated",NA,NA
"E06000001","Hartlepool","LAD23","persons","01/12/2015",1.137012531,NA,NA,"interpolated",NA,NA
"E06000001","Hartlepool","LAD23","persons","01/01/2016",1.138279933,NA,NA,"actual",948.8,1080
"E06000001","Hartlepool","LAD23","persons","01/02/2016",1.136402031,NA,NA,"interpolated",NA,NA
"E06000001","Hartlepool","LAD23","persons","01/03/2016",1.134524129,NA,NA,"interpolated",NA,NA
"E06000001","Hartlepool","LAD23","persons","01/04/2016",1.132646227,NA,NA,"interpolated",955.9,NA
"E06000001","Hartlepool","LAD23","persons","01/05/2016",1.130768326,NA,NA,"interpolated",NA,NA
"E06000001","Hartlepool","LAD23","persons","01/06/2016",1.128890424,NA,NA,"interpolated",NA,NA
"E06000001","Hartlepool","LAD23","persons","01/07/2016",1.127012522,NA,NA,"actual",950.3,1071
"E06000001","Hartlepool","LAD23","persons","01/08/2016",1.125030329,NA,NA,"interpolated",NA,NA
"E06000001","Hartlepool","LAD23","persons","01/09/2016",1.123048136,NA,NA,"interpolated",NA,NA
"E06000001","Hartlepool","LAD23","persons","01/10/2016",1.121065943,NA,NA,"interpolated",923.5,NA
"E06000001","Hartlepool","LAD23","persons","01/11/2016",1.11908375,NA,NA,"interpolated",NA,NA
"E06000001","Hartlepool","LAD23","persons","01/12/2016",1.117101557,NA,NA,"interpolated",NA,NA
"E06000001","Hartlepool","LAD23","persons","01/01/2017",1.115119363,NA,NA,"actual",942.5,1051
"E06000001","Hartlepool","LAD23","persons","01/02/2017",1.106154563,NA,NA,"interpolated",NA,NA
"E06000001","Hartlepool","LAD23","persons","01/03/2017",1.097189763,NA,NA,"interpolated",NA,NA
"E06000001","Hartlepool","LAD23","persons","01/04/2017",1.088224962,NA,NA,"interpolated",919.8,NA
"E06000001","Hartlepool","LAD23","persons","01/05/2017",1.079260162,NA,NA,"interpolated",903.6,NA
"E06000001","Hartlepool","LAD23","persons","01/06/2017",1.070295362,NA,NA,"interpolated",956.4,NA
"E06000001","Hartlepool","LAD23","persons","01/07/2017",1.061330561,NA,NA,"actual",962,1021
"E06000001","Hartlepool","LAD23","persons","01/08/2017",1.070511013,NA,NA,"interpolated",935,NA
"E06000001","Hartlepool","LAD23","persons","01/09/2017",1.079691465,NA,NA,"interpolated",916,NA
"E06000001","Hartlepool","LAD23","persons","01/10/2017",1.088871917,NA,NA,"interpolated",898,NA
"E06000001","Hartlepool","LAD23","persons","01/11/2017",1.098052369,NA,NA,"interpolated",904,NA
